Metric,Value,Timestamp
temperature,63,2022-06-07T06:03:39.000Z
precipitation,92,2022-06-03T03:08:06.000Z
precipitation,63,2022-06-08T22:29:09.000Z
precipitation,95,2022-06-02T22:48:00.000Z
precipitation,98,2022-06-04T08:32:01.000Z
temperature,57,2022-06-03T10:41:12.000Z
precipitation,27,2022-06-06T19:19:06.000Z
precipitation,73,2022-06-02T14:51:32.000Z
temperature,6,2022-06-07T17:08:43.000Z
precipitation,58,2022-06-09T00:57:52.000Z
temperature,74,2022-06-03T11:58:33.000Z
temperature,63,2022-06-04T01:41:54.000Z
temperature,58,2022-06-06T10:07:17.000Z
precipitation,4,2022-06-03T15:22:54.000Z
precipitation,13,2022-06-08T22:25:04.000Z
precipitation,91,2022-06-08T17:23:04.000Z
temperature,54,2022-06-04T15:10:45.000Z
precipitation,95,2022-06-02T09:54:25.000Z
precipitation,83,2022-06-03T10:34:31.000Z
temperature,19,2022-06-02T09:19:56.000Z
temperature,41,2022-06-05T14:01:36.000Z
temperature,71,2022-06-03T09:59:48.000Z
precipitation,18,2022-06-05T13:42:56.000Z
temperature,18,2022-06-08T10:29:18.000Z
precipitation,38,2022-06-02T15:00:46.000Z
temperature,71,2022-06-09T21:29:01.000Z
temperature,22,2022-06-01T21:40:35.000Z
precipitation,59,2022-06-02T02:11:15.000Z
precipitation,4,2022-06-09T10:03:13.000Z
temperature,39,2022-06-06T07:08:44.000Z
temperature,49,2022-06-09T14:52:46.000Z
precipitation,37,2022-06-02T13:42:44.000Z
temperature,20,2022-06-04T19:25:32.000Z
precipitation,23,2022-06-07T21:23:50.000Z
precipitation,30,2022-06-02T10:06:25.000Z
precipitation,33,2022-06-03T19:28:41.000Z
precipitation,61,2022-06-01T18:01:27.000Z
temperature,86,2022-06-03T13:02:45.000Z
temperature,90,2022-06-07T03:53:03.000Z
precipitation,59,2022-06-06T06:26:06.000Z
precipitation,87,2022-06-02T06:44:07.000Z
temperature,3,2022-06-09T19:27:01.000Z
precipitation,14,2022-06-06T00:21:12.000Z
precipitation,96,2022-06-04T11:15:04.000Z
precipitation,47,2022-06-06T08:58:10.000Z
temperature,71,2022-06-06T14:22:45.000Z
precipitation,84,2022-06-06T15:15:39.000Z
precipitation,69,2022-06-07T00:51:07.000Z
temperature,34,2022-06-02T00:38:49.000Z
temperature,92,2022-06-02T09:01:51.000Z
temperature,80,2022-06-08T03:09:20.000Z
precipitation,81,2022-06-05T02:23:16.000Z
temperature,52,2022-06-06T16:51:51.000Z
temperature,54,2022-06-01T02:37:48.000Z
precipitation,9,2022-06-06T18:03:08.000Z
temperature,45,2022-06-08T15:28:06.000Z
precipitation,33,2022-06-08T23:37:18.000Z
temperature,71,2022-06-09T16:09:36.000Z
temperature,18,2022-06-05T22:12:37.000Z
precipitation,76,2022-06-09T23:34:19.000Z
temperature,29,2022-06-09T19:46:50.000Z
temperature,81,2022-06-03T09:37:26.000Z
temperature,4,2022-06-02T04:58:05.000Z
temperature,19,2022-06-03T12:02:25.000Z
temperature,42,2022-06-09T21:22:29.000Z
precipitation,16,2022-06-05T05:42:57.000Z
temperature,3,2022-06-06T07:17:23.000Z
temperature,4,2022-06-08T04:29:58.000Z
precipitation,23,2022-06-04T17:35:46.000Z
precipitation,39,2022-06-07T16:29:12.000Z
temperature,25,2022-06-09T00:58:20.000Z
precipitation,91,2022-06-09T00:43:54.000Z
temperature,27,2022-06-09T01:10:06.000Z
temperature,88,2022-06-02T22:04:20.000Z
precipitation,73,2022-06-01T17:48:56.000Z
temperature,53,2022-06-05T11:22:16.000Z
precipitation,43,2022-06-04T19:06:17.000Z
precipitation,40,2022-06-09T16:10:09.000Z
temperature,78,2022-06-05T10:57:44.000Z
precipitation,9,2022-06-07T14:46:48.000Z
precipitation,76,2022-06-01T03:27:23.000Z
temperature,9,2022-06-01T05:19:50.000Z
temperature,4,2022-06-03T07:22:30.000Z
temperature,57,2022-06-02T14:33:17.000Z
temperature,49,2022-06-06T19:14:34.000Z
temperature,31,2022-06-03T22:44:41.000Z
temperature,88,2022-06-07T17:13:41.000Z
precipitation,45,2022-06-05T11:27:26.000Z
precipitation,22,2022-06-07T10:54:56.000Z
temperature,77,2022-06-03T07:30:50.000Z
temperature,72,2022-06-01T07:22:54.000Z
temperature,41,2022-06-07T18:01:31.000Z
precipitation,99,2022-06-06T20:07:13.000Z
precipitation,52,2022-06-05T01:16:35.000Z
precipitation,92,2022-06-05T14:40:04.000Z
temperature,20,2022-06-07T10:45:10.000Z
precipitation,80,2022-06-02T09:41:23.000Z
precipitation,71,2022-06-04T23:07:47.000Z
precipitation,26,2022-06-07T05:10:30.000Z
temperature,61,2022-06-05T14:37:07.000Z
precipitation,50,2022-06-08T07:04:31.000Z
precipitation,90,2022-06-09T08:06:06.000Z
precipitation,41,2022-06-03T17:42:20.000Z
precipitation,82,2022-06-05T10:14:13.000Z
precipitation,10,2022-06-07T09:10:37.000Z
precipitation,2,2022-06-02T21:11:05.000Z
temperature,53,2022-06-09T13:43:33.000Z
precipitation,71,2022-06-03T22:55:11.000Z
precipitation,57,2022-06-09T03:09:33.000Z
temperature,15,2022-06-06T21:53:13.000Z
temperature,81,2022-06-03T03:07:37.000Z
temperature,29,2022-06-03T15:03:57.000Z
precipitation,36,2022-06-07T02:01:39.000Z
precipitation,94,2022-06-08T07:41:31.000Z
precipitation,28,2022-06-09T17:18:26.000Z
precipitation,13,2022-06-07T20:03:57.000Z
precipitation,41,2022-06-09T00:49:23.000Z
precipitation,3,2022-06-07T19:09:42.000Z
precipitation,52,2022-06-07T15:47:27.000Z
temperature,25,2022-06-01T22:01:53.000Z
temperature,36,2022-06-02T22:37:03.000Z
temperature,82,2022-06-04T20:10:33.000Z
temperature,95,2022-06-08T20:12:04.000Z
temperature,53,2022-06-08T20:49:09.000Z
temperature,73,2022-06-03T06:35:19.000Z
precipitation,77,2022-06-04T04:39:30.000Z
temperature,68,2022-06-09T04:42:45.000Z
temperature,88,2022-06-03T09:42:56.000Z
precipitation,66,2022-06-06T07:07:41.000Z
precipitation,1,2022-06-06T13:46:07.000Z
precipitation,45,2022-06-08T12:46:48.000Z
temperature,80,2022-06-07T17:40:58.000Z
precipitation,75,2022-06-03T07:16:57.000Z
temperature,34,2022-06-01T13:20:07.000Z
precipitation,20,2022-06-07T22:06:23.000Z
precipitation,33,2022-06-09T20:22:42.000Z
temperature,84,2022-06-06T00:28:34.000Z
precipitation,93,2022-06-04T06:44:47.000Z
temperature,24,2022-06-01T10:05:01.000Z
precipitation,61,2022-06-07T08:43:49.000Z
temperature,34,2022-06-07T21:59:46.000Z
temperature,18,2022-06-05T18:36:18.000Z
precipitation,44,2022-06-05T19:46:20.000Z
precipitation,91,2022-06-06T07:04:02.000Z
temperature,27,2022-06-06T11:19:08.000Z
temperature,7,2022-06-06T12:49:36.000Z
temperature,97,2022-06-06T20:42:07.000Z
temperature,21,2022-06-03T18:58:27.000Z
precipitation,87,2022-06-07T15:14:30.000Z
temperature,16,2022-06-07T09:09:04.000Z
temperature,48,2022-06-01T23:30:42.000Z
precipitation,71,2022-06-04T04:26:38.000Z
temperature,84,2022-06-03T21:08:21.000Z
precipitation,20,2022-06-02T23:18:01.000Z
precipitation,59,2022-06-04T12:41:39.000Z
temperature,50,2022-06-08T02:44:48.000Z
precipitation,62,2022-06-02T19:36:01.000Z
temperature,61,2022-06-02T20:20:34.000Z
precipitation,73,2022-06-07T21:36:36.000Z
temperature,57,2022-06-06T03:45:07.000Z
precipitation,96,2022-06-06T03:38:22.000Z
temperature,8,2022-06-01T16:21:54.000Z
precipitation,21,2022-06-04T10:44:39.000Z
temperature,88,2022-06-09T06:10:22.000Z
temperature,20,2022-06-07T18:20:12.000Z
precipitation,65,2022-06-05T17:29:14.000Z
precipitation,88,2022-06-02T03:42:54.000Z
precipitation,31,2022-06-04T16:22:26.000Z
temperature,33,2022-06-04T10:35:33.000Z
temperature,98,2022-06-07T07:33:43.000Z
temperature,59,2022-06-02T00:25:42.000Z
temperature,82,2022-06-05T02:31:41.000Z
temperature,98,2022-06-03T11:56:24.000Z
precipitation,18,2022-06-07T13:27:56.000Z
temperature,81,2022-06-01T06:49:42.000Z
temperature,43,2022-06-04T04:37:18.000Z
temperature,96,2022-06-06T03:47:10.000Z
temperature,61,2022-06-04T08:28:37.000Z
temperature,34,2022-06-06T14:20:48.000Z
precipitation,27,2022-06-04T11:24:16.000Z
precipitation,13,2022-06-02T00:58:09.000Z
temperature,34,2022-06-06T00:43:58.000Z
precipitation,57,2022-06-05T17:58:20.000Z
precipitation,47,2022-06-04T12:35:56.000Z
precipitation,25,2022-06-02T11:39:56.000Z
temperature,22,2022-06-07T03:28:11.000Z
precipitation,77,2022-06-04T08:31:00.000Z
precipitation,24,2022-06-09T06:19:11.000Z
precipitation,33,2022-06-05T03:03:55.000Z
temperature,44,2022-06-06T18:27:53.000Z
temperature,61,2022-06-04T02:15:37.000Z
temperature,35,2022-06-06T01:16:35.000Z
temperature,23,2022-06-01T06:34:31.000Z
temperature,35,2022-06-06T00:06:34.000Z
precipitation,15,2022-06-09T18:47:53.000Z
temperature,23,2022-06-03T05:02:40.000Z
temperature,62,2022-06-08T20:28:22.000Z
precipitation,29,2022-06-04T21:01:11.000Z
temperature,46,2022-06-01T13:59:30.000Z
precipitation,4,2022-06-04T22:20:26.000Z
temperature,37,2022-06-03T19:11:49.000Z
temperature,49,2022-06-01T06:47:34.000Z
temperature,84,2022-06-09T22:44:30.000Z
temperature,72,2022-06-04T21:24:30.000Z
temperature,56,2022-06-06T01:05:16.000Z
precipitation,68,2022-06-02T16:35:15.000Z
precipitation,28,2022-06-06T07:03:00.000Z
temperature,41,2022-06-02T16:15:25.000Z
temperature,63,2022-06-04T18:04:05.000Z
temperature,15,2022-06-07T21:18:44.000Z
precipitation,16,2022-06-03T15:01:20.000Z
precipitation,7,2022-06-01T12:18:11.000Z
precipitation,7,2022-06-06T01:06:24.000Z
precipitation,93,2022-06-08T07:32:45.000Z
temperature,56,2022-06-07T01:49:12.000Z
temperature,64,2022-06-06T04:12:57.000Z
precipitation,43,2022-06-02T05:42:22.000Z
temperature,92,2022-06-05T22:39:38.000Z
precipitation,26,2022-06-06T11:43:16.000Z
temperature,35,2022-06-01T20:23:10.000Z
precipitation,60,2022-06-08T06:37:35.000Z
precipitation,59,2022-06-08T08:55:48.000Z
precipitation,55,2022-06-07T05:10:07.000Z
temperature,81,2022-06-09T09:51:23.000Z
precipitation,77,2022-06-03T14:17:22.000Z
temperature,21,2022-06-08T10:33:07.000Z
precipitation,63,2022-06-06T21:32:39.000Z
precipitation,31,2022-06-04T09:13:34.000Z
temperature,86,2022-06-03T05:01:21.000Z
precipitation,28,2022-06-09T19:30:34.000Z
temperature,45,2022-06-02T22:28:54.000Z
temperature,68,2022-06-02T09:07:02.000Z
temperature,5,2022-06-07T19:10:08.000Z
precipitation,5,2022-06-05T16:08:25.000Z
precipitation,37,2022-06-07T01:25:56.000Z
precipitation,30,2022-06-03T12:52:04.000Z
temperature,67,2022-06-07T00:26:00.000Z
precipitation,75,2022-06-05T11:06:12.000Z
temperature,62,2022-06-03T09:55:46.000Z
precipitation,33,2022-06-02T08:39:07.000Z
temperature,80,2022-06-06T22:34:52.000Z
temperature,31,2022-06-09T14:27:53.000Z
temperature,61,2022-06-08T17:51:24.000Z
temperature,61,2022-06-02T12:09:10.000Z
temperature,49,2022-06-02T09:13:35.000Z
temperature,67,2022-06-06T11:30:48.000Z
precipitation,33,2022-06-08T03:54:27.000Z
precipitation,10,2022-06-09T12:59:43.000Z
precipitation,35,2022-06-07T00:54:15.000Z
temperature,50,2022-06-09T23:27:16.000Z
temperature,58,2022-06-08T14:52:30.000Z
precipitation,38,2022-06-06T14:10:00.000Z
precipitation,57,2022-06-01T14:21:47.000Z
precipitation,17,2022-06-08T14:05:18.000Z
temperature,72,2022-06-08T00:03:32.000Z
precipitation,7,2022-06-08T18:30:01.000Z
precipitation,85,2022-06-04T17:46:36.000Z
temperature,25,2022-06-08T17:19:53.000Z
temperature,65,2022-06-03T02:41:51.000Z
precipitation,78,2022-06-01T17:07:45.000Z
temperature,20,2022-06-06T14:14:03.000Z
precipitation,98,2022-06-03T08:17:04.000Z
temperature,30,2022-06-08T19:46:47.000Z
precipitation,43,2022-06-06T15:27:14.000Z
precipitation,8,2022-06-06T01:04:32.000Z
precipitation,64,2022-06-09T02:38:52.000Z
temperature,27,2022-06-02T10:05:53.000Z
precipitation,90,2022-06-08T19:28:45.000Z
precipitation,94,2022-06-01T05:28:10.000Z
precipitation,15,2022-06-02T05:10:34.000Z
precipitation,3,2022-06-07T16:26:36.000Z
precipitation,32,2022-06-03T15:43:16.000Z
temperature,48,2022-06-09T11:37:36.000Z
temperature,47,2022-06-01T16:18:42.000Z
temperature,59,2022-06-09T02:11:27.000Z
precipitation,4,2022-06-08T17:39:01.000Z
temperature,42,2022-06-08T04:53:30.000Z
temperature,27,2022-06-05T11:28:59.000Z
temperature,39,2022-06-01T02:33:46.000Z
temperature,66,2022-06-07T16:49:00.000Z
precipitation,37,2022-06-08T21:25:40.000Z
temperature,80,2022-06-08T06:23:15.000Z
precipitation,74,2022-06-06T09:52:14.000Z
temperature,54,2022-06-08T01:11:05.000Z
precipitation,70,2022-06-05T12:35:37.000Z
temperature,67,2022-06-07T20:41:55.000Z
temperature,63,2022-06-06T07:57:38.000Z
precipitation,57,2022-06-09T03:14:16.000Z
temperature,68,2022-06-04T01:37:53.000Z
precipitation,48,2022-06-08T05:56:39.000Z
precipitation,5,2022-06-07T23:58:53.000Z
temperature,44,2022-06-08T14:04:55.000Z
precipitation,64,2022-06-08T18:19:11.000Z
precipitation,2,2022-06-09T07:52:52.000Z
temperature,8,2022-06-08T17:50:58.000Z
temperature,34,2022-06-04T20:43:22.000Z
temperature,82,2022-06-05T11:37:37.000Z
precipitation,52,2022-06-02T14:29:46.000Z
precipitation,87,2022-06-06T18:22:28.000Z
temperature,33,2022-06-03T13:56:50.000Z
precipitation,54,2022-06-04T11:26:21.000Z
precipitation,41,2022-06-05T03:56:49.000Z
precipitation,2,2022-06-04T15:11:42.000Z
precipitation,56,2022-06-07T05:08:20.000Z
precipitation,90,2022-06-01T22:12:28.000Z
precipitation,12,2022-06-04T19:40:25.000Z
precipitation,80,2022-06-09T15:59:18.000Z
precipitation,65,2022-06-02T05:09:49.000Z
temperature,15,2022-06-02T03:00:30.000Z
temperature,42,2022-06-01T00:11:15.000Z
temperature,78,2022-06-09T12:01:27.000Z
precipitation,82,2022-06-08T10:14:03.000Z
precipitation,63,2022-06-09T16:08:17.000Z
precipitation,38,2022-06-02T04:59:32.000Z
precipitation,96,2022-06-08T07:52:17.000Z
temperature,27,2022-06-01T17:04:46.000Z
precipitation,69,2022-06-05T10:27:51.000Z
precipitation,20,2022-06-08T05:35:59.000Z
precipitation,14,2022-06-01T02:17:43.000Z
precipitation,43,2022-06-01T17:02:29.000Z
precipitation,52,2022-06-05T01:58:04.000Z
precipitation,70,2022-06-03T23:38:50.000Z
temperature,7,2022-06-07T02:56:27.000Z
temperature,94,2022-06-07T00:44:12.000Z
precipitation,29,2022-06-07T00:49:29.000Z
temperature,12,2022-06-07T01:42:58.000Z
precipitation,89,2022-06-08T04:34:57.000Z
temperature,43,2022-06-07T22:32:10.000Z
temperature,88,2022-06-05T19:16:33.000Z
temperature,90,2022-06-08T00:44:17.000Z
temperature,7,2022-06-09T07:09:58.000Z
precipitation,70,2022-06-05T00:18:10.000Z
precipitation,11,2022-06-07T16:30:05.000Z
precipitation,4,2022-06-02T15:36:54.000Z
precipitation,31,2022-06-06T21:05:56.000Z
temperature,43,2022-06-01T00:13:27.000Z
precipitation,2,2022-06-05T02:07:09.000Z
precipitation,30,2022-06-01T19:55:56.000Z
temperature,42,2022-06-04T12:21:00.000Z
temperature,67,2022-06-02T09:50:02.000Z
precipitation,64,2022-06-01T11:09:25.000Z
temperature,54,2022-06-02T20:08:10.000Z
precipitation,64,2022-06-06T14:46:47.000Z
temperature,76,2022-06-08T10:39:51.000Z
temperature,7,2022-06-02T06:12:58.000Z
precipitation,92,2022-06-04T19:22:42.000Z
temperature,69,2022-06-08T02:43:30.000Z
temperature,20,2022-06-08T00:23:15.000Z
temperature,38,2022-06-09T06:10:08.000Z
precipitation,53,2022-06-01T07:10:39.000Z
precipitation,69,2022-06-05T17:06:21.000Z
temperature,97,2022-06-01T02:35:22.000Z
temperature,91,2022-06-09T11:05:46.000Z
temperature,79,2022-06-06T02:10:38.000Z
precipitation,3,2022-06-02T00:41:43.000Z
temperature,96,2022-06-06T01:36:12.000Z
temperature,9,2022-06-04T14:20:37.000Z
precipitation,85,2022-06-07T11:32:06.000Z
precipitation,65,2022-06-02T03:44:49.000Z
precipitation,4,2022-06-08T19:32:15.000Z
temperature,53,2022-06-09T00:13:29.000Z
temperature,15,2022-06-05T12:28:11.000Z
precipitation,96,2022-06-02T20:57:09.000Z
precipitation,10,2022-06-09T15:25:42.000Z
precipitation,89,2022-06-02T17:15:02.000Z
temperature,93,2022-06-08T22:12:36.000Z
precipitation,24,2022-06-03T18:27:21.000Z
precipitation,88,2022-06-04T15:37:13.000Z
precipitation,81,2022-06-01T13:13:03.000Z
precipitation,33,2022-06-07T07:44:20.000Z
precipitation,3,2022-06-02T04:34:21.000Z
precipitation,8,2022-06-06T07:27:35.000Z
temperature,9,2022-06-03T21:31:25.000Z
temperature,83,2022-06-04T05:10:55.000Z
precipitation,54,2022-06-02T10:57:10.000Z
precipitation,43,2022-06-07T16:27:58.000Z
temperature,52,2022-06-01T08:19:38.000Z
temperature,30,2022-06-09T01:47:55.000Z
precipitation,62,2022-06-01T01:13:18.000Z
temperature,10,2022-06-07T17:19:31.000Z
temperature,23,2022-06-05T05:11:28.000Z
precipitation,64,2022-06-01T14:53:34.000Z
precipitation,33,2022-06-09T17:38:09.000Z
precipitation,76,2022-06-01T00:01:08.000Z
precipitation,40,2022-06-08T11:41:27.000Z
temperature,75,2022-06-05T10:01:03.000Z
temperature,49,2022-06-02T02:18:37.000Z
temperature,42,2022-06-09T01:47:45.000Z
precipitation,82,2022-06-06T02:50:56.000Z
temperature,12,2022-06-02T19:00:45.000Z
temperature,33,2022-06-08T23:38:38.000Z
temperature,100,2022-06-06T20:02:27.000Z
temperature,89,2022-06-03T15:45:44.000Z
precipitation,5,2022-06-03T08:24:53.000Z
precipitation,59,2022-06-08T06:00:28.000Z
temperature,5,2022-06-02T20:32:45.000Z
precipitation,31,2022-06-05T04:16:20.000Z
temperature,59,2022-06-04T05:15:51.000Z
precipitation,78,2022-06-09T13:13:15.000Z
temperature,63,2022-06-05T20:44:38.000Z
precipitation,50,2022-06-03T07:40:13.000Z
temperature,1,2022-06-06T04:38:40.000Z
precipitation,77,2022-06-06T16:11:34.000Z
precipitation,1,2022-06-03T02:08:32.000Z
precipitation,41,2022-06-05T15:09:53.000Z
temperature,79,2022-06-04T07:04:43.000Z
precipitation,70,2022-06-09T20:38:56.000Z
precipitation,47,2022-06-01T03:52:59.000Z
precipitation,50,2022-06-07T20:21:50.000Z
precipitation,47,2022-06-06T08:55:53.000Z
precipitation,73,2022-06-02T01:24:16.000Z
precipitation,52,2022-06-09T21:43:06.000Z
precipitation,82,2022-06-08T14:07:00.000Z
temperature,80,2022-06-07T13:00:57.000Z
precipitation,77,2022-06-02T02:03:11.000Z
precipitation,98,2022-06-07T23:02:55.000Z
precipitation,36,2022-06-05T04:57:02.000Z
precipitation,38,2022-06-05T15:35:53.000Z
precipitation,13,2022-06-02T10:31:20.000Z
temperature,43,2022-06-04T22:11:54.000Z
precipitation,77,2022-06-06T07:29:08.000Z
temperature,77,2022-06-08T21:53:38.000Z
precipitation,64,2022-06-04T21:05:24.000Z
precipitation,75,2022-06-07T03:50:43.000Z
precipitation,84,2022-06-07T09:14:16.000Z
precipitation,29,2022-06-03T11:28:26.000Z
precipitation,98,2022-06-08T01:30:48.000Z
temperature,63,2022-06-07T05:02:09.000Z
temperature,94,2022-06-02T02:06:27.000Z
precipitation,18,2022-06-04T14:38:52.000Z
precipitation,23,2022-06-08T05:50:13.000Z
temperature,56,2022-06-06T03:40:42.000Z
temperature,21,2022-06-02T11:23:16.000Z
temperature,38,2022-06-09T09:54:19.000Z
precipitation,50,2022-06-03T10:52:18.000Z
temperature,93,2022-06-05T01:21:39.000Z
temperature,94,2022-06-02T16:30:53.000Z
temperature,13,2022-06-05T17:03:56.000Z
precipitation,84,2022-06-08T01:38:41.000Z
temperature,56,2022-06-02T15:17:30.000Z
precipitation,58,2022-06-09T00:36:34.000Z
precipitation,1,2022-06-04T04:37:13.000Z
temperature,24,2022-06-08T13:43:32.000Z
temperature,68,2022-06-02T10:09:57.000Z
precipitation,8,2022-06-04T11:45:42.000Z
temperature,42,2022-06-04T23:21:46.000Z
precipitation,98,2022-06-01T17:52:35.000Z
temperature,13,2022-06-03T03:47:51.000Z
temperature,37,2022-06-02T02:57:16.000Z
precipitation,72,2022-06-06T22:52:07.000Z
precipitation,87,2022-06-04T22:01:24.000Z
precipitation,23,2022-06-01T01:29:21.000Z
precipitation,61,2022-06-01T04:09:19.000Z
precipitation,37,2022-06-03T19:52:49.000Z
temperature,91,2022-06-05T01:06:55.000Z
precipitation,53,2022-06-04T00:46:35.000Z
precipitation,71,2022-06-04T18:00:38.000Z
precipitation,35,2022-06-08T02:37:44.000Z
temperature,3,2022-06-04T04:56:36.000Z
temperature,51,2022-06-09T00:58:54.000Z
precipitation,18,2022-06-08T05:25:52.000Z
temperature,95,2022-06-04T14:00:29.000Z
temperature,27,2022-06-01T23:22:42.000Z
precipitation,80,2022-06-06T11:36:02.000Z
precipitation,74,2022-06-03T19:18:40.000Z
precipitation,48,2022-06-09T06:23:12.000Z
precipitation,20,2022-06-08T05:51:10.000Z
temperature,90,2022-06-06T08:02:33.000Z
